[2026-06-03 11:11:10 ET] === Backfill start (from 2026-04-01 to 2026-05-01, live=False) ===
[2026-06-03 11:11:10 ET]   fetching search page: ...iled_after=2026-04-01&order_by=dateFiled+asc&filed_before=2026-05-01&format=json
[2026-06-03 11:11:27 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:11:43 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:12:33 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:12:50 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:13:03 ET]   + HIT: Erie Kash Out Properties, LLC | 26-11440 | paeb | zip=19120 (Philadelphia)
[2026-06-03 11:13:05 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:13:32 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:13:47 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:14:04 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:14:16 ET]   + HIT: EEW AOS Paulsboro Urban Renewal, LLC | 26-13902 | njb | zip=08066 (South Jersey)
[2026-06-03 11:14:18 ET]   + HIT: EEW American Offshore Structures Inc., et al | 26-13901 | njb | zip=08066 (South Jersey)
[2026-06-03 11:14:21 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:14:41 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:15:00 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
[2026-06-03 11:15:20 ET]   fetching search page: ...filed_before=2026-05-01&format=json&order_by=dateFiled+asc&q=chapter%3A11&type=d
